timestamp,elapsed,deployment,desired,ready,available
1763285209.323043,9.5367431640625e-07,task1-deployment,1,1,1
1763285209.323043,9.5367431640625e-07,task2-deployment,1,1,1
1763285214.4855099,5.16246771812439,task1-deployment,1,1,1
1763285214.4855099,5.16246771812439,task2-deployment,1,1,1
1763285219.63455,10.311507940292358,task1-deployment,1,1,1
1763285219.63455,10.311507940292358,task2-deployment,1,1,1
1763285224.786996,15.463953733444214,task1-deployment,1,1,1
1763285224.786996,15.463953733444214,task2-deployment,1,1,1
1763285229.4218261,20.09878396987915,task1-deployment,1,1,1
1763285229.4218261,20.09878396987915,task2-deployment,1,1,1
1763285234.566106,25.243063926696777,task1-deployment,1,1,1
1763285234.566106,25.243063926696777,task2-deployment,1,1,1
1763285239.7068532,30.383810997009277,task1-deployment,1,1,1
1763285239.7068532,30.383810997009277,task2-deployment,1,1,1
1763285244.3424451,35.01940298080444,task1-deployment,1,1,1
1763285244.3424451,35.01940298080444,task2-deployment,1,1,1
1763285249.477582,40.154539823532104,task1-deployment,1,1,1
1763285249.477582,40.154539823532104,task2-deployment,1,1,1
1763285254.618755,45.29571294784546,task1-deployment,1,1,1
1763285254.618755,45.29571294784546,task2-deployment,1,1,1
1763285259.755079,50.43203687667847,task1-deployment,1,1,1
1763285259.755079,50.43203687667847,task2-deployment,1,1,1
1763285264.392116,55.06907391548157,task1-deployment,1,1,1
1763285264.392116,55.06907391548157,task2-deployment,1,1,1
1763285269.5260532,60.20301103591919,task1-deployment,1,1,1
1763285269.5260532,60.20301103591919,task2-deployment,1,1,1
1763285274.676841,65.35379886627197,task1-deployment,1,1,1
1763285274.676841,65.35379886627197,task2-deployment,1,1,1
1763285279.821206,70.49816393852234,task1-deployment,1,1,1
1763285279.821206,70.49816393852234,task2-deployment,1,1,1
1763285284.458508,75.13546586036682,task1-deployment,1,1,1
1763285284.458508,75.13546586036682,task2-deployment,1,1,1
1763285289.587313,80.2642707824707,task1-deployment,1,1,1
1763285289.587313,80.2642707824707,task2-deployment,1,1,1
1763285294.727616,85.40457391738892,task1-deployment,1,1,1
1763285294.727616,85.40457391738892,task2-deployment,1,1,1
1763285299.346472,90.02342987060547,task1-deployment,1,1,1
1763285299.346472,90.02342987060547,task2-deployment,1,1,1
1763285304.4902442,95.16720199584961,task1-deployment,1,1,1
1763285304.4902442,95.16720199584961,task2-deployment,1,1,1
1763285309.6314392,100.30839705467224,task1-deployment,1,1,1
1763285309.6314392,100.30839705467224,task2-deployment,1,1,1
1763285314.776034,105.45299196243286,task1-deployment,1,1,1
1763285314.776034,105.45299196243286,task2-deployment,1,1,1
1763285319.4242072,110.10116505622864,task1-deployment,1,1,1
1763285319.4242072,110.10116505622864,task2-deployment,1,1,1
1763285324.562282,115.23923993110657,task1-deployment,1,1,1
1763285324.562282,115.23923993110657,task2-deployment,1,1,1
1763285329.700105,120.37706279754639,task1-deployment,1,1,1
1763285329.700105,120.37706279754639,task2-deployment,1,1,1
1763285334.330647,125.0076048374176,task1-deployment,1,1,1
1763285334.330647,125.0076048374176,task2-deployment,1,1,1
1763285339.465936,130.14289379119873,task1-deployment,1,1,1
1763285339.465936,130.14289379119873,task2-deployment,1,1,1
1763285344.623213,135.3001708984375,task1-deployment,1,1,1
1763285344.623213,135.3001708984375,task2-deployment,1,1,1
1763285349.766643,140.44360089302063,task1-deployment,1,1,1
1763285349.766643,140.44360089302063,task2-deployment,1,1,1
1763285354.4025118,145.07946968078613,task1-deployment,1,1,1
1763285354.4025118,145.07946968078613,task2-deployment,1,1,1
1763285359.550656,150.22761392593384,task1-deployment,1,1,1
1763285359.550656,150.22761392593384,task2-deployment,1,1,1
1763285364.682917,155.35987496376038,task1-deployment,1,1,1
1763285364.682917,155.35987496376038,task2-deployment,1,1,1
1763285369.817343,160.49430084228516,task1-deployment,1,1,1
1763285369.817343,160.49430084228516,task2-deployment,1,1,1
1763285374.451345,165.1283028125763,task1-deployment,1,1,1
1763285374.451345,165.1283028125763,task2-deployment,1,1,1
1763285379.5800269,170.25698471069336,task1-deployment,1,1,1
1763285379.5800269,170.25698471069336,task2-deployment,1,1,1
1763285384.724011,175.40096879005432,task1-deployment,1,1,1
1763285384.724011,175.40096879005432,task2-deployment,1,1,1
1763285389.350933,180.02789092063904,task1-deployment,1,1,1
1763285389.350933,180.02789092063904,task2-deployment,1,1,1
1763285394.478457,185.1554148197174,task1-deployment,1,1,1
1763285394.478457,185.1554148197174,task2-deployment,1,1,1
1763285399.6225762,190.29953408241272,task1-deployment,1,1,1
1763285399.6225762,190.29953408241272,task2-deployment,1,1,1
1763285404.754872,195.4318299293518,task1-deployment,1,1,1
1763285404.754872,195.4318299293518,task2-deployment,1,1,1
1763285409.38818,200.06513786315918,task1-deployment,1,1,1
1763285409.38818,200.06513786315918,task2-deployment,1,1,1
1763285414.520138,205.19709587097168,task1-deployment,1,1,1
1763285414.520138,205.19709587097168,task2-deployment,1,1,1
1763285419.6507678,210.32772564888,task1-deployment,1,1,1
1763285419.6507678,210.32772564888,task2-deployment,1,1,1
1763285424.331472,215.0084297657013,task1-deployment,1,1,1
1763285424.331472,215.0084297657013,task2-deployment,1,1,1
1763285429.47918,220.15613794326782,task1-deployment,1,1,1
1763285429.47918,220.15613794326782,task2-deployment,1,1,1
1763285434.622303,225.29926085472107,task1-deployment,1,1,1
1763285434.622303,225.29926085472107,task2-deployment,1,1,1
1763285439.7597282,230.43668603897095,task1-deployment,1,1,1
1763285439.7597282,230.43668603897095,task2-deployment,1,1,1
1763285444.3943849,235.0713427066803,task1-deployment,1,1,1
1763285444.3943849,235.0713427066803,task2-deployment,1,1,1
1763285449.527452,240.20440983772278,task1-deployment,1,1,1
1763285449.527452,240.20440983772278,task2-deployment,1,1,1
1763285454.662861,245.33981895446777,task1-deployment,1,1,1
1763285454.662861,245.33981895446777,task2-deployment,1,1,1
1763285459.82042,250.49737787246704,task1-deployment,1,1,1
1763285459.82042,250.49737787246704,task2-deployment,1,1,1
1763285464.45561,255.13256788253784,task1-deployment,1,1,1
1763285464.45561,255.13256788253784,task2-deployment,1,1,1
1763285469.607742,260.2846999168396,task1-deployment,1,1,1
1763285469.607742,260.2846999168396,task2-deployment,1,1,1
1763285474.7596219,265.43657970428467,task1-deployment,1,1,1
1763285474.7596219,265.43657970428467,task2-deployment,1,1,1
1763285479.4005818,270.0775396823883,task1-deployment,1,1,1
1763285479.4005818,270.0775396823883,task2-deployment,1,1,1
1763285484.5317628,275.2087206840515,task1-deployment,1,1,1
1763285484.5317628,275.2087206840515,task2-deployment,1,1,1
1763285489.6793852,280.35634303092957,task1-deployment,1,1,1
1763285489.6793852,280.35634303092957,task2-deployment,1,1,1
1763285494.8198662,285.4968240261078,task1-deployment,1,1,1
1763285494.8198662,285.4968240261078,task2-deployment,1,1,1
1763285499.451752,290.1287097930908,task1-deployment,1,1,1
1763285499.451752,290.1287097930908,task2-deployment,1,1,1
1763285504.651158,295.328115940094,task1-deployment,1,1,1
1763285504.651158,295.328115940094,task2-deployment,1,1,1
